DATAFLOW,REF_AREA:Country,INDICATOR:Indicator,SEX:Sex,WEALTH_QUINTILE:Wealth Quintile,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,DATA_SOURCE:Data Source,COUNTRY_NOTES:Country notes,REF_PERIOD:Reference Period,UNIT_MEASURE:Unit of measure,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,OBS_STATUS:Observation Status
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2009,26.82648222,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,23.86154453,30.23068505,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2010,25.18288037,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,22.18545709,28.60132903,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2011,23.63761886,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,20.53559983,27.14980509,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2012,22.10107623,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,18.90669461,25.69592379,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2013,20.6891056,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,17.3297054,24.40893267,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2014,19.30451782,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,15.8035029,23.20261694,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2015,18.0469943,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,14.40504978,22.15376487,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2016,16.91417278,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,13.13084424,21.22164367,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2017,15.88127207,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,11.97727592,20.36017248,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2018,14.93002156,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,10.93245914,19.81268048,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2019,14.06502327,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,9.929179816,19.41428456,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2009,26.5377892,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,23.53321983,30.00298915,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2010,25.02942884,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,21.99283952,28.54476223,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2011,23.58917831,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,20.44261791,27.16978414,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2012,22.2290592,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,18.92373705,25.96651641,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2013,20.87697595,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,17.43039281,24.7667507,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2014,19.62157786,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,16.001342,23.78940201,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2015,18.42847493,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,14.58978512,22.80977367,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2016,17.32958773,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,13.34647308,21.97644315,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2017,16.37345153,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,12.27160109,21.2669391,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2018,15.51788074,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,11.22628855,20.74343026,A: Normal value
UNICEF:CME(1.0): Child Mortality,AFG: Afghanistan,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2019,14.73650965,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,10.25995677,20.54473037,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2009,51.01008623,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,34.4074254,73.31815988,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2010,46.80627107,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,29.50273115,70.56450113,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2011,42.95824565,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,24.98357108,68.21088978,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2012,39.35630762,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,20.97521191,66.1985441,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2013,36.27218185,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,17.59403535,64.16120047,A: Normal value
